Point 0,12.96,62.4,0.0,0.75,0.75
Point 1,39.36,36.96,0.0,0.75,0.75
Point 2,60.96,36.96,0.0,0.75,0.75
Point 3,18.72,66.0,0.0,0.75,0.75
Point 4,37.92,12.96,0.0,0.75,0.75
Point 5,57.36,11.76,0.0,0.75,0.75
Point 6,17.76,-19.68,0.0,0.75,0.75
Point 7,39.84,-12.24,0.0,0.75,0.75
Point 8,55.92,-12.0,0.0,0.75,0.75
Point 9,27.36,-30.48,0.0,0.75,0.75
